Symbol,Price,Country,Earning_Date,IV_Rank,IV_Pctl,Options_Vol,Smart_Score,Anlayst_Census,Best_Anlayst_Census,Earning_Call_Score,RSI,ImpliedMove_Historic (%),Expected_Move (%)
GTLB,64.12,USA,2025-03-03,,,,7,5,5,80,38.79,17.159,15.705
OKTA,92.75,USA,2025-03-03,75.70%,90%,5837.0,6,4,4,80,42.22,12.638,13.130
ONON,48.44,Switzerland,2025-03-04,66.41%,85%,22365.0,10,5,5,80,35.99,11.981,12.054
CRDO,66.78,Cayman Islands,2025-03-04,100.00%,100%,7361.0,6,5,5,70,40.63,20.231,27.301
ROST,136.61,USA,2025-03-04,,,,7,4,4,88,38.61,6.810,7.807
BOX,33.47,USA,2025-03-04,,,,7,4,4,78,37.74,10.476,10.372
NFE,11.17,USA,2025-03-06,62.17%,84%,6311.0,5,4,4,72,27.68,13.551,16.689
ANF,100.11,USA,2025-03-05,76.89%,90%,6027.0,7,5,4,88,33.71,14.122,15.032
ZS,198.56,USA,2025-03-05,91.69%,98%,6880.0,10,5,5,92,43.40,11.028,14.722
MRVL,103.81,USA,2025-03-05,94.96%,99%,76578.0,5,5,5,78,36.83,9.806,13.444
MDB,273.26,USA,2025-03-05,85.05%,97%,15072.0,7,5,5,80,45.50,13.645,15.654
KGS,43.7,USA,2025-03-05,,,,8,5,4,75,43.13,8.292,11.160
VEEV,225.79,USA,2025-03-05,,,,9,4,4,80,47.91,8.908,10.935
BJ,101.49,USA,2025-03-06,,,,6,4,4,79,46.39,8.507,19.814
BTSG,19.49,USA,2025-03-06,,,,6,5,5,80,35.60,12.111,17.972
IOT,52.82,USA,2025-03-06,57.37%,84%,8320.0,7,4,4,80,42.50,16.041,16.413
HPE,21.14,USA,2025-03-06,66.00%,92%,23908.0,8,4,4,85,36.62,9.186,9.941
COO,88.48,USA,2025-03-06,,,,9,4,5,82,46.06,7.033,7.556
AVGO,218.66,USA,2025-03-06,71.22%,97%,240572.0,9,5,5,88,43.31,7.306,11.717
GWRE,203.71,USA,2025-03-06,,,,4,5,5,80,45.53,9.032,12.680
CIEN,84.08,USA,2025-03-11,,,,4,4,4,80,42.00,10.907,13.867
FERG,176.0,USA,2025-03-11,,,,,5,5,75,44.06,6.293,9.126
DKS,224.64,USA,2025-03-11,,,,9,4,4,80,44.21,9.679,10.820
TGT,124.27,USA,2025-03-04,89.72%,98%,34577.0,4,4,4,80,35.85,7.855,9.775
S,22.12,USA,2025-03-12,56.97%,86%,4218.0,8,4,4,75,32.75,15.492,14.239
ADBE,444.32,USA,2025-03-12,98.84%,99%,21558.0,6,4,4,80,44.67,7.681,9.643
RBRK,69.7,USA,2025-03-13,,,,6,5,5,75,40.17,13.880,21.144
LEGN,39.7,USA,2025-03-11,,,,7,5,5,70,49.02,10.361,11.444
CNM,50.97,USA,2025-03-18,,,,6,4,4,72,36.45,11.130,9.259
ADMA,15.84,USA,2025-03-03,,,,9,4,4,85,41.48,17.889,15.843
